#;DNP;Reference;Qty;Value;MANUFACTURER;Part Number;DigiKey Part Number
1;;C5;1;4.7uF;Samsung Electro-Mechanics;CL10A475KO8NNNC;1276-1784-1-ND
2;;C1 C11 C12;3;0.1uF;Samsung Electro-Mechanics;CL05B104KO5NNNC;1276-1507-1-ND
3;;C13 C14 C16;3;47uF;Samsung Electro-Mechanics;CL21A476MQYNNNE;1276-1852-1-ND
4;;C2 C3 C4 C6 C9 C10 C15;7;1uF;Samsung Electro-Mechanics;CL05A105KA5NQNC;1276-1445-1-ND
5;DNP;C7 C8;2;DNI;;;
6;;CON1 CON2 CON3 CON4;4;FH12-12S-0.5SVA_54_;Hirose;FH12-12S-0.5SVA_54_;H125135CT-ND
7;;D1;1;SBR0240LPW-7B;Diodes Incorporated;SBR0240LPW-7B;SBR0240LPW-7BDICT-ND
8;;D2;1;PRTR5V0U2X;Nexperia USA Inc.;PRTR5V0U2X-QR;1727-PRTR5V0U2X-QRCT-ND
9;;D3;1;A-SP136R6C-C01-3T RED;QT Brightek (QTB);QBLP595-R5;1516-QBLP595-R5CT-ND
10;;D4;1;EASV3015RGBA0;Everlight Electronics Co Ltd;EASV3015RGBA0;1080-1502-1-ND
11;;D5;1;IN-S85CS5Y Yellow;Inolux;IN-S85CS5Y;1830-IN-S85CS5YCT-ND
12;;J1;1;GCT USB4105;GCT;USB4105-GF-A-120;2073-USB4105-GF-A-120CT-ND
13;;J2;1;FH12-8S-0.5SH;Hirose;FH12-8S-0.5SH(55);H124618CT-ND
14;;J3;1;S2B-PH-SM4-TB;JST;S2B-PH-SM4-TB(LF)(SN);455-S2B-PH-SM4-TBCT-ND
15;;L1;1;2.2uH 7.7A;Taiyo Yuden;NRS4018T2R2MDGJ;587-2890-1-ND
16;;Q1;1;BSS123;UMW;BSS123;4518-BSS123CT-ND
17;;R20;1;2.0k;Vishay Dale;CRCW04022K00FKED;541-2.00KLCT-ND
18;;R22;1;560k;Vishay Dale;CRCW0402560KFKED;541-560KLCT-ND
19;;R23;1;294;YAGEO;RC0402FR-07294RL;YAG3093CT-ND
20;;R25;1;39;Vishay Dale;CRCW040239R0FKED;541-39.0LCT-ND
21;;R26;1;130;Vishay Dale;CRCW0402130RFKED;541-130LCT-ND
22;;R27;1;30;Vishay Dale;CRCW040230R0FKED;541-30.0LCT-ND
23;;R28;1;150;Vishay Dale;CRCW0402150RFKED;541-150LCT-ND
24;;R1 R2 R3 R4 R5 R7 R8 R9 R16 R17 R18 R19 R21 R24;14;100k;Vishay Dale;CRCW0402100KFKED;541-100KLCT-ND
25;;R10 R11;2;5.1k;Vishay Dale;CRCW04025K10FKED;541-5.10KLCT-ND
26;;R12 R13 R14 R15;4;280k;YAGEO;RC0402FR-13280KL;13-RC0402FR-13280KLCT-ND
27;;R6 R29;2;10k;Vishay Dale;CRCW040210K0FKED;541-10.0KLCT-ND
28;;SW1 SW2;2;SW_SPST_ALPS_SKSCLDE010;Alps Alpine;SKSCLDE010;4809-SKSCLDE010CT-ND
29;DNP;TP1 TP2;2;TestPoint;;;
30;;U1;1;74HC4051BQ;Nexperia;74HC4051BQ 115;1727-6049-1-ND
31;;U2;1;PCA9557BS;Texas Instruments;PCA9557RGVR;296-21785-1-ND
32;;U3;1;ADC081C021CIMM;Texas Instruments;ADC081C021CIMM/NOPB;ADC081C021CIMM/NOPBCT-ND
33;;U4;1;NORA-B106-00B;u-blox;NORA-B106-00B;672-NORA-B106-00BCT-ND
34;;U5;1;MCP73831T-2DCI/OT;Microchip;MCP73831T-2DCI/OT;MCP73831T-2DCI/OTCT-ND
35;;U6;1;TPS2116DRL;Texas Instruments;TPS2116DRLR;296-TPS2116DRLRCT-ND
36;;U7;1;RT6154AGQW;Richtek Tech;RT6154AGQW;1028-1338-1-ND
37;;Y1;1;Crystal;Abracon LLC;ABS06-32.768KHZ-9-1-T;535-10247-1-ND
